,prdtypecode
0,10
1,2280
2,50
3,1280
4,2705
5,2280
6,10
7,2522
8,1280
9,2582
10,1560
11,1560
12,1281
13,1920
14,1560
15,2522
16,2403
17,2522
18,1140
19,2280
20,2583
21,1280
22,1180
23,1140
24,1300
25,2462
26,1280
27,2522
28,2280
29,1160
30,2060
31,40
32,1560
33,2522
34,40
35,2060
36,2060
37,1281
38,1920
39,2583
40,60
41,1180
42,2522
43,1281
44,2280
45,1920
46,10
47,40
48,1160
49,1280
50,40
51,2403
52,1281
53,2583
54,2403
55,1280
56,2705
57,2403
58,2583
59,1300
60,1280
61,2403
62,1320
63,1300
64,2583
65,2583
66,1140
67,2060
68,2280
69,2403
70,2583
71,2462
72,1140
73,2582
74,2403
75,2280
76,1302
77,2060
78,1560
79,1302
80,50
81,1300
82,2220
83,2060
84,2583
85,1560
86,2462
87,1560
88,1280
89,2522
90,2583
91,2583
92,1920
93,1280
94,2522
95,1560
96,2403
97,2522
98,1140
99,2060
100,2582
101,40
102,2280
103,1920
104,1300
105,1300
106,1180
107,40
108,2583
109,1160
110,1140
111,2705
112,2280
113,2403
114,1302
115,1160
116,2583
117,2583
118,2583
119,1560
120,1302
121,2060
122,2403
123,2060
124,1320
125,1302
126,1140
127,2280
128,1280
129,2280
130,2583
131,10
132,1560
133,1560
134,1300
135,1281
136,1280
137,2280
138,1320
139,2583
140,1300
141,2705
142,40
143,1320
144,2705
145,2583
146,1300
147,1280
148,2905
149,2522
150,2705
151,1280
152,2583
153,1300
154,1180
155,1160
156,2403
157,1920
158,1560
159,2522
160,1140
161,2403
162,2585
163,50
164,2705
165,50
166,2280
167,2583
168,2060
169,2280
170,1560
171,2583
172,1280
173,2280
174,2583
175,2060
176,2585
177,1920
178,2583
179,1160
180,60
181,1300
182,1560
183,2060
184,2583
185,1302
186,2280
187,2060
188,10
189,2403
190,2060
191,1320
192,2403
193,2403
194,1560
195,40
196,1140
197,2705
198,2522
199,1300
200,1940
201,2583
202,1280
203,1940
204,40
205,1920
206,2583
207,50
208,2583
209,1280
210,2522
211,50
212,2060
213,2060
214,1280
215,1280
216,2060
217,2705
218,2583
219,1300
220,1560
221,2705
222,2280
223,1560
224,2583
225,1160
226,1920
227,1300
228,1160
229,1281
230,1320
231,2522
232,2280
233,2280
234,2583
235,1300
236,2403
237,1300
238,2462
239,1920
240,1160
241,2583
242,2583
243,2522
244,2705
245,1320
246,1302
247,10
248,2583
249,2582
250,1920
251,1560
252,40
253,1920
254,2522
255,2403
256,1920
257,1301
258,10
259,10
260,2060
261,1920
262,2705
263,1560
264,2583
265,2583
266,2582
267,1300
268,1920
269,1302
270,60
271,1560
272,2585
273,1560
274,1300
275,2585
276,1140
277,1300
278,2522
279,1281
280,1280
281,2582
282,40
283,2403
284,2522
285,2280
286,2403
287,2905
288,1160
289,1301
290,1320
291,2403
292,1140
293,1300
294,1302
295,1302
296,2583
297,2522
298,2403
299,60
300,10
301,2582
302,2582
303,1560
304,1140
305,1560
306,1281
307,1920
308,2522
309,1920
310,1160
311,2060
312,2583
313,2522
314,1320
315,1300
316,2583
317,2583
318,2280
319,2583
320,2220
321,1320
322,2705
323,2060
324,2462
325,2280
326,2583
327,1280
328,2583
329,1320
330,1281
331,1280
332,40
333,1280
334,1300
335,10
336,1560
337,2060
338,2220
339,2585
340,2060
341,50
342,2582
343,2583
344,2583
345,2060
346,40
347,1140
348,1300
349,1280
350,1920
351,1300
352,2585
353,2403
354,2220
355,2220
356,1281
357,2583
358,1300
359,2522
360,1300
361,1280
362,1140
363,2705
364,1140
365,2522
366,2462
367,1281
368,1920
369,2522
370,1140
371,1302
372,10
373,2280
374,2403
375,60
376,1920
377,1560
378,2583
379,1920
380,2280
381,1300
382,1320
383,1320
384,2583
385,2403
386,10
387,1560
388,2522
389,2462
390,1140
391,10
392,2403
393,1300
394,1320
395,1280
396,1140
397,2522
398,2582
399,1300
400,1281
401,2060
402,1300
403,10
404,1281
405,2582
406,1940
407,2582
408,1140
409,1140
410,1300
411,2060
412,1560
413,2585
414,2280
415,50
416,2403
417,2403
418,1140
419,1302
420,1920
421,40
422,40
423,2522
424,50
425,1560
426,2583
427,1300
428,1160
429,2585
430,2585
431,2220
432,10
433,50
434,1560
435,2280
436,2280
437,1560
438,2280
439,1280
440,2403
441,1281
442,1940
443,1160
444,1560
445,1300
446,1920
447,1160
448,2522
449,2462
450,1320
451,1920
452,1560
453,1302
454,1300
455,2280
456,2582
457,2705
458,2403
459,1281
460,10
461,2060
462,2060
463,2060
464,2280
465,2403
466,1300
467,1300
468,2585
469,1920
470,2585
471,2060
472,2583
473,1560
474,1140
475,2583
476,40
477,10
478,2583
479,1280
480,2705
481,50
482,1140
483,40
484,1280
485,1140
486,50
487,2582
488,2220
489,2522
490,2280
491,50
492,2585
493,2582
494,2582
495,1280
496,1300
497,2582
498,2583
499,2280
500,2583
501,1281
502,1300
503,2522
504,2583
505,1560
506,40
507,50
508,2583
509,2585
510,2583
511,2280
512,2403
513,10
514,2705
515,2705
516,1300
517,2280
518,2280
519,2280
520,1920
521,2403
522,2583
523,2585
524,1180
525,2705
526,2060
527,1560
528,2705
529,50
530,60
531,1280
532,1560
533,2583
534,2583
535,2280
536,2585
537,1281
538,10
539,2280
540,1560
541,2585
542,1920
543,2220
544,1920
545,2582
546,2403
547,2060
548,1302
549,2403
550,2705
551,2583
552,1280
553,2060
554,2705
555,50
556,40
557,40
558,2583
559,2522
560,1320
561,2585
562,2403
563,1281
564,1302
565,2582
566,2583
567,1280
568,1160
569,2522
570,1300
571,1140
572,2280
573,1560
574,2583
575,2582
576,1302
577,1300
578,2462
579,1302
580,10
581,2522
582,1320
583,2060
584,2705
585,1302
586,1160
587,1320
588,1320
589,2462
590,2403
591,1160
592,2403
593,2583
594,1280
595,1920
596,2462
597,1560
598,1280
599,2705
600,1300
